Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,9225,2014,8,107,Y
IDCJAC0001,9225,2014,9,77,N
IDCJAC0001,9225,2014,10,37,Y
IDCJAC0001,9225,2014,11,23.8,N
IDCJAC0001,9225,2014,12,0,N
IDCJAC0001,9225,2015,1,18.6,N
IDCJAC0001,9225,2015,2,23.4,N
IDCJAC0001,9225,2015,3,15.6,N
IDCJAC0001,9225,2015,4,54,N
IDCJAC0001,9225,2015,5,83.8,Y
IDCJAC0001,9225,2015,6,100.4,Y
IDCJAC0001,9225,2015,7,102.4,N
IDCJAC0001,9225,2015,8,113,Y
IDCJAC0001,9225,2015,9,52,Y
IDCJAC0001,9225,2015,10,20.6,Y
IDCJAC0001,9225,2015,11,20.4,N
IDCJAC0001,9225,2015,12,13.6,N
IDCJAC0001,9225,2016,1,15.2,Y
IDCJAC0001,9225,2016,2,0.6,Y
IDCJAC0001,9225,2016,3,16.8,Y
IDCJAC0001,9225,2016,4,68.2,N
IDCJAC0001,9225,2016,5,112,Y
IDCJAC0001,9225,2016,6,109.4,Y
IDCJAC0001,9225,2016,7,139.6,N
IDCJAC0001,9225,2016,8,123.2,Y
IDCJAC0001,9225,2016,9,68.8,Y
IDCJAC0001,9225,2016,10,37.4,N
IDCJAC0001,9225,2016,11,14.4,N
IDCJAC0001,9225,2016,12,10.2,N
IDCJAC0001,9225,2017,1,45.4,N
IDCJAC0001,9225,2017,2,137.2,N
IDCJAC0001,9225,2017,3,23.6,Y
IDCJAC0001,9225,2017,4,0,N
IDCJAC0001,9225,2017,5,70.8,Y
IDCJAC0001,9225,2017,6,88,Y
IDCJAC0001,9225,2017,7,172.6,N
IDCJAC0001,9225,2017,8,151.6,N
IDCJAC0001,9225,2017,9,77.4,N
IDCJAC0001,9225,2017,10,42,N
IDCJAC0001,9225,2017,11,4.8,N
IDCJAC0001,9225,2017,12,40.6,N
IDCJAC0001,9225,2018,1,106.2,N
IDCJAC0001,9225,2018,2,0.2,N
IDCJAC0001,9225,2018,3,2.6,N
IDCJAC0001,9225,2018,4,20.6,N
IDCJAC0001,9225,2018,5,67.4,N
IDCJAC0001,9225,2018,6,126.4,Y
IDCJAC0001,9225,2018,7,152,Y
IDCJAC0001,9225,2018,8,186,N
IDCJAC0001,9225,2018,9,35.2,N
IDCJAC0001,9225,2018,10,40,N
IDCJAC0001,9225,2018,11,3.2,N
IDCJAC0001,9225,2018,12,1.8,N
IDCJAC0001,9225,2019,1,7.2,Y
IDCJAC0001,9225,2019,2,0.2,Y
IDCJAC0001,9225,2019,3,6.2,N
IDCJAC0001,9225,2019,4,44.2,N
IDCJAC0001,9225,2019,5,17.8,N
IDCJAC0001,9225,2019,6,212,Y
IDCJAC0001,9225,2019,7,108.6,N
IDCJAC0001,9225,2019,8,114.2,N
IDCJAC0001,9225,2019,9,31.4,Y
IDCJAC0001,9225,2019,11,18.2,Y
IDCJAC0001,9225,2019,12,2.4,N
IDCJAC0001,9225,2020,1,3,N
IDCJAC0001,9225,2020,2,34.4,N
IDCJAC0001,9225,2020,3,32.8,N
IDCJAC0001,9225,2020,4,13.2,N
IDCJAC0001,9225,2020,5,111.6,N
IDCJAC0001,9225,2020,6,115.4,Y
IDCJAC0001,9225,2020,7,83.4,N
IDCJAC0001,9225,2020,8,92.8,N
IDCJAC0001,9225,2020,9,77.8,N
IDCJAC0001,9225,2020,10,12.6,N
IDCJAC0001,9225,2020,11,92,N
IDCJAC0001,9225,2020,12,4.4,N
IDCJAC0001,9225,2021,1,0.2,N
IDCJAC0001,9225,2021,2,38.6,N
IDCJAC0001,9225,2021,3,40.6,N
IDCJAC0001,9225,2021,4,40.6,N
IDCJAC0001,9225,2021,5,113.6,Y
IDCJAC0001,9225,2021,6,93.6,N
IDCJAC0001,9225,2021,7,271.4,Y
IDCJAC0001,9225,2021,8,56.8,Y
IDCJAC0001,9225,2021,9,62.2,N
IDCJAC0001,9225,2021,10,122.8,Y
IDCJAC0001,9225,2021,11,48,N
IDCJAC0001,9225,2021,12,3.6,N
IDCJAC0001,9225,2022,1,0,N
IDCJAC0001,9225,2022,2,1.6,N
IDCJAC0001,9225,2022,3,5,N
IDCJAC0001,9225,2022,4,76.2,N
IDCJAC0001,9225,2022,5,87.4,Y
IDCJAC0001,9225,2022,6,60.8,Y
IDCJAC0001,9225,2022,7,157,N
IDCJAC0001,9225,2022,8,174.4,N
IDCJAC0001,9225,2022,9,77,N
IDCJAC0001,9225,2022,10,26.4,N
IDCJAC0001,9225,2022,11,34.8,Y
IDCJAC0001,9225,2022,12,1,N
IDCJAC0001,9225,2023,1,0.4,Y
IDCJAC0001,9225,2023,2,0,N
IDCJAC0001,9225,2023,3,41.8,N
IDCJAC0001,9225,2023,4,45.4,N
IDCJAC0001,9225,2023,5,26.4,N
IDCJAC0001,9225,2023,6,228.6,Y
IDCJAC0001,9225,2023,7,120.6,N
IDCJAC0001,9225,2023,8,75,N
IDCJAC0001,9225,2023,9,44.8,Y
IDCJAC0001,9225,2023,10,8.2,N
IDCJAC0001,9225,2023,11,5.2,Y
IDCJAC0001,9225,2023,12,0,N
IDCJAC0001,9225,2024,1,1.8,N
IDCJAC0001,9225,2024,2,5,N
IDCJAC0001,9225,2024,3,1.6,Y
IDCJAC0001,9225,2024,4,1.2,N
IDCJAC0001,9225,2024,5,76,N
IDCJAC0001,9225,2024,6,118.6,N
IDCJAC0001,9225,2024,7,170,Y
IDCJAC0001,9225,2024,8,138.4,Y
IDCJAC0001,9225,2024,9,39.2,N
IDCJAC0001,9225,2024,10,47.6,Y
IDCJAC0001,9225,2024,11,10.4,N
IDCJAC0001,9225,2024,12,3.8,Y
IDCJAC0001,9225,2025,1,5.4,N
IDCJAC0001,9225,2025,2,0,Y
IDCJAC0001,9225,2025,3,19,Y
IDCJAC0001,9225,2025,4,9.2,Y
IDCJAC0001,9225,2025,5,62.4,Y
IDCJAC0001,9225,2025,8,203.8,Y
IDCJAC0001,9225,2025,9,98.6,Y
IDCJAC0001,9225,2025,10,54.6,Y
IDCJAC0001,9225,2025,11,16.8,Y
IDCJAC0001,9225,2025,12,15.8,Y
IDCJAC0001,9225,2026,1,1.8,Y
IDCJAC0001,9225,2026,2,5.8,N
IDCJAC0001,9225,2026,3,72.6,N
IDCJAC0001,9225,2026,4,37.8,N
IDCJAC0001,9225,2026,5,53.2,N
IDCJAC0001,9225,2026,6,121.6,N
IDCJAC0001,9225,2026,7,56.8,Y
IDCJAC0001,9225,2026,8,97,N
